Extinction, scattering, and absorption properties computed for the
carbonaceous - silicate dust model of Weingartner & Draine (2001) and
Li & Draine (2001).

Model consists of mixture of carbonaceous grains, and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001).  PAH optical properties are from Li
& Draine (2001).  Graphite and silicate optical properties from Draine
& Lee (1984), Laor & Draine (1993), Weingartner & Draine (2001), and
Li & Draine (2001).

Grain size distribution: Weingartner & Draine (2001) model for
"LMC 2" dust with C/H = b_C = 10.e-6 in two log-normal size
distributions.

The PAH/graphitic grains in the log-normal size distributions are
assumed to be 50% neutral and 50% ionized.  The PAH/graphitic grains
in the size distribution given by eq. (5,6) of Weingartner & Draine
(2001) are assumed to be 100% ionized.

Calculated by B.T. Draine, Princeton University, 2001.07.05

References:
Draine, B.T., & Lee, H.-M. 1984, "Optical Properties of Interstellar
    Graphite and Silicate Grains", Astrophys. J., 285, 89-108
Laor, A., & Draine, B.T. 1993, "Spectroscopic Constraints on the Properties
    of Dust in Active Galactic Nuclei", Astrophys. J., 402, 441-468
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust. II.
    The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, "Dust Grain-Size Distributions and 
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548, 296-309

Tabulated quantities:
lambda  = wavelength in vacuo (micron) [2401 values from 1.e-2 to 1.e4 um]
albedo  = (scattering cross section)/(extinction cross section)
g       = <cos(theta)> for scattered light
C_ext/H = extinction cross section per H nucleon (cm^2/H)
K_abs   = absorption cross section per mass of dust (cm^2/gram)

 lambda   albedo    g     C_ext/H    K_abs
(micron)                  (cm^2/H)  (cm^2/g)
--------- ------  ------ --------- ---------
2.802E-02 0.3155  0.9252 3.482E-22 4.204E+04
2.818E-02 0.3148  0.9245 3.494E-22 4.222E+04
2.835E-02 0.3141  0.9237 3.505E-22 4.240E+04
2.851E-02 0.3134  0.9230 3.517E-22 4.259E+04
2.867E-02 0.3127  0.9223 3.529E-22 4.277E+04
2.884E-02 0.3120  0.9215 3.540E-22 4.296E+04
2.901E-02 0.3113  0.9208 3.552E-22 4.315E+04
2.917E-02 0.3106  0.9201 3.564E-22 4.333E+04
2.934E-02 0.3099  0.9193 3.576E-22 4.352E+04
2.951E-02 0.3092  0.9186 3.587E-22 4.371E+04
2.968E-02 0.3084  0.9179 3.599E-22 4.390E+04
2.985E-02 0.3077  0.9171 3.611E-22 4.409E+04
3.003E-02 0.3070  0.9164 3.623E-22 4.428E+04
3.020E-02 0.3063  0.9156 3.635E-22 4.447E+04
3.037E-02 0.3056  0.9149 3.646E-22 4.466E+04
3.055E-02 0.3049  0.9141 3.658E-22 4.485E+04
3.073E-02 0.3042  0.9134 3.670E-22 4.504E+04
3.090E-02 0.3035  0.9126 3.682E-22 4.523E+04
3.108E-02 0.3028  0.9118 3.694E-22 4.542E+04
3.126E-02 0.3021  0.9111 3.706E-22 4.561E+04
3.144E-02 0.3015  0.9103 3.717E-22 4.580E+04
3.162E-02 0.3008  0.9095 3.729E-22 4.599E+04
3.181E-02 0.3001  0.9087 3.741E-22 4.618E+04
3.199E-02 0.2994  0.9080 3.753E-22 4.637E+04
3.217E-02 0.2987  0.9072 3.765E-22 4.656E+04
3.236E-02 0.2981  0.9064 3.777E-22 4.675E+04
3.255E-02 0.2974  0.9056 3.789E-22 4.694E+04
3.273E-02 0.2967  0.9048 3.800E-22 4.714E+04
3.292E-02 0.2961  0.9041 3.812E-22 4.733E+04
3.311E-02 0.2954  0.9033 3.824E-22 4.752E+04
3.330E-02 0.2947  0.9025 3.835E-22 4.771E+04
3.350E-02 0.2940  0.9017 3.847E-22 4.790E+04
3.369E-02 0.2934  0.9009 3.859E-22 4.809E+04
3.388E-02 0.2927  0.9001 3.871E-22 4.828E+04
3.408E-02 0.2921  0.8993 3.883E-22 4.848E+04
3.428E-02 0.2914  0.8985 3.894E-22 4.867E+04
3.447E-02 0.2907  0.8977 3.906E-22 4.886E+04
3.467E-02 0.2901  0.8969 3.918E-22 4.905E+04
3.487E-02 0.2894  0.8961 3.930E-22 4.925E+04
3.508E-02 0.2888  0.8953 3.942E-22 4.944E+04
3.528E-02 0.2882  0.8945 3.953E-22 4.963E+04
3.548E-02 0.2875  0.8937 3.965E-22 4.983E+04
3.569E-02 0.2867  0.8930 3.979E-22 5.005E+04
3.589E-02 0.2861  0.8922 3.990E-22 5.024E+04
3.610E-02 0.2855  0.8915 4.001E-22 5.042E+04
3.631E-02 0.2850  0.8907 4.010E-22 5.057E+04
3.652E-02 0.2847  0.8900 4.017E-22 5.068E+04
3.673E-02 0.2848  0.8893 4.019E-22 5.069E+04
3.694E-02 0.2849  0.8885 4.020E-22 5.070E+04
3.715E-02 0.2851  0.8878 4.020E-22 5.069E+04
3.737E-02 0.2853  0.8870 4.020E-22 5.068E+04
3.758E-02 0.2855  0.8862 4.020E-22 5.065E+04
3.780E-02 0.2856  0.8853 4.023E-22 5.069E+04
3.802E-02 0.2856  0.8844 4.027E-22 5.074E+04
3.824E-02 0.2855  0.8835 4.032E-22 5.080E+04
